#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-06-04T01:13:27 [V7.5.1]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-06-04T01:13:27	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=99999&-source=J/ApJ/608/243/photom&-order=I&-out=Seq&-out=Xpos&-out=Ypos&-out=Bmag&-out=e_Bmag&-out=Vmag&-out=e_Vmag&-out=Icmag&-out=e_Icmag&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.1	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_16080243
#Name: J/ApJ/608/243
#Title: CCD BVI photometry of M12 stars (Hargis+, 2004)
#INFO	ivoid=ivo://cds.vizier/j/apj/608/243	    IVOID of underlying data collection
#INFO	creator=Hargis J.R.	    First author or institution
#INFO	cites=bibcode:2004ApJ...608..243H	    Article or Data origin sources
#INFO	editor=Astrophysical Journal (AAS)	    Editor name (article)
#INFO	original_date=2004	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/608/243	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.16080243	    Dataset identifier that can be used for citation
#INFO	publication_date=2004-08-20	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_608_243_photom:
#Name: J/ApJ/608/243/photom
#Title: BVI Photometry for M12 stars
#Column	Seq	(I5)	Sequential number	[ucd=meta.id]
#Column	Xpos	(F8.3)	X coordinate in pixels (1)	[ucd=pos.cartesian.x;instr.det]
#Column	Ypos	(F8.3)	Y coordinate in pixels (1)	[ucd=pos.cartesian.y;instr.det]
#Column	Bmag	(F7.4)	? Johnson B magnitude	[ucd=phot.mag;em.opt.B]
#Column	e_Bmag	(F7.4)	? Johnson B magnitude error	[ucd=stat.error]
#Column	Vmag	(F7.4)	? Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F7.4)	? Johnson V magnitude error	[ucd=stat.error]
#Column	Icmag	(F7.4)	? Cousins I magnitude	[ucd=phot.mag;em.opt.I]
#Column	e_Icmag	(F7.4)	? Cousins I magnitude error	[ucd=stat.error]
Seq	Xpos	Ypos	Bmag	e_Bmag	Vmag	e_Vmag	Icmag	e_Icmag
   28	1012.763	 939.020	14.0318	 0.0085	12.6564	 0.0105	11.1666	 0.0092
   29	 958.352	1030.969	14.0875	 0.0082	12.6762	 0.0107	11.1497	 0.0099
   30	1018.722	1061.589	14.1211	 0.0076	12.7634	 0.0106	11.2802	 0.0108
   31	 998.149	 894.535	14.1581	 0.0079	12.7905	 0.0107	11.2919	 0.0106
   32	1157.276	 830.924	14.0002	 0.0079	12.8102	 0.0103	11.4678	 0.0102
   33	1599.181	1652.801	14.0727	 0.0076	12.8163	 0.0100	11.3919	 0.0104
   34	1487.097	1124.219	13.8653	 0.0078	12.8204	 0.0104	11.5860	 0.0099
   35	1066.438	1146.608	14.2256	 0.0084	12.8801	 0.0112	11.4156	 0.0104
   36	1206.058	1290.934	13.8848	 0.0079	12.9188	 0.0115	11.7269	 0.0099
   37	1115.778	 721.422	14.2562	 0.0079	12.9219	 0.0101	11.4328	 0.0106
   38	 987.980	 981.783	14.2609	 0.0085	12.9307	 0.0104	11.4684	 0.0103
   39	1094.748	 994.121	14.2559	 0.0086	12.9368	 0.0110	11.4914	 0.0105
   40	1198.130	1044.542	14.0792	 0.0078	12.9578	 0.0099	11.6503	 0.0104
   41	2022.758	 183.116	13.9346	 0.0089	12.9774	 0.0139	11.9759	 0.0102
   42	1478.022	1225.973	14.3448	 0.0077	13.0529	 0.0106	11.6272	 0.0097
   43	 928.818	1051.652	14.3711	 0.0081	13.0668	 0.0124	11.6193	 0.0109
   44	1197.693	 910.373	14.2547	 0.0082	13.0948	 0.0106	11.7882	 0.0101
   45	1064.406	1038.947	14.3521	 0.0081	13.1060	 0.0108	11.6936	 0.0094
   46	 982.837	1234.665	14.3144	 0.0082	13.1458	 0.0107	11.7978	 0.0101
   47	1149.627	1209.013	14.4326	 0.0084	13.1578	 0.0103	11.7339	 0.0094
   48	1274.539	 919.622	14.4075	 0.0075	13.1727	 0.0106	11.7827	 0.0094
   49	1847.205	 257.618	14.2464	 0.0078	13.1818	 0.0102	12.0068	 0.0136
   50	1297.623	 295.877	14.4948	 0.0083	13.2023	 0.0100	11.7939	 0.0093
   51	1483.569	 440.373	13.8913	 0.0076	13.2603	 0.0102	12.4666	 0.0084
   52	1431.905	1018.996	14.4586	 0.0082	13.2664	 0.0106	11.9989	 0.0086
   53	1062.381	 983.929	14.5363	 0.0087	13.3383	 0.0112	11.9640	 0.0083
   54	1097.031	 923.106	14.5903	 0.0077	13.3482	 0.0105	11.9773	 0.0094
   55	 924.344	 304.599	14.0568	 0.0078	13.3741	 0.0101	12.5384	 0.0083
   56	1043.960	1105.275	14.5665	 0.0086	13.3932	 0.0111	12.0442	 0.0092
   57	1659.129	 570.289	14.4127	 0.0083	13.4203	 0.0107	12.3129	 0.0114
   58	1033.553	1460.095	14.6395	 0.0083	13.4425	 0.0103	12.0743	 0.0080
   59	 634.928	 523.266	14.6763	 0.0083	13.4449	 0.0103	12.0860	 0.0092
   60	1119.396	 966.773	14.6849	 0.0099	13.4521	 0.0132	12.1370	 0.0092
   61	 814.694	1895.861	14.5595	 0.0083	13.4756	 0.0109	12.2375	 0.0104
   62	 797.461	   8.294	14.1631	 0.0082	13.4816	 0.0132	12.6893	 0.0078
   63	1295.863	1264.912	14.7405	 0.0080	13.5183	 0.0110	12.1702	 0.0083
   64	1061.989	 942.173	14.5660	 0.0086	13.5380	 0.0124	12.3086	 0.0083
   65	  96.174	 351.797	14.3618	 0.0084	13.5784	 0.0128	12.6429	 0.0079
   66	 961.407	 997.122	14.7918	 0.0089	13.6129	 0.0111	12.2751	 0.0081
   67	1190.299	 628.206	14.9111	 0.0079	13.6211	 0.0104	12.2249	 0.0086
   68	1270.417	1117.486	14.8008	 0.0081	13.6337	 0.0112	12.2943	 0.0087
   69	 808.510	1028.510	14.6597	 0.0082	13.6567	 0.0117	12.4706	 0.0083
   70	 896.844	 796.287	14.8460	 0.0084	13.6728	 0.0110	12.3351	 0.0086
   71	1341.935	1049.794	14.8338	 0.0078	13.6741	 0.0105	12.3450	 0.0075
   72	1005.093	1024.965	14.8746	 0.0102	13.6960	 0.0110	12.3638	 0.0086
   73	1847.901	1877.135	14.6052	 0.0074	13.7002	 0.0101	12.7487	 0.0081
   74	 655.272	 263.166	14.3781	 0.0078	13.7048	 0.0104	12.8313	 0.0085
   75	 995.445	1147.913	14.8554	 0.0086	13.7049	 0.0119	12.3883	 0.0094
   76	 928.801	 875.709	14.8963	 0.0085	13.7121	 0.0108	12.3875	 0.0082
   77	1034.289	 925.513	14.6976	 0.0091	13.7212	 0.0101	12.5073	 0.0087
   78	1545.800	 130.186	14.5489	 0.0079	13.7249	 0.0105	12.7979	 0.0081
   79	 905.084	 958.271	14.8856	 0.0090	13.7313	 0.0105	12.4136	 0.0087
   80	1037.018	1158.847	14.9232	 0.0082	13.7448	 0.0106	12.4572	 0.0089
   81	1219.989	1083.402	14.6197	 0.0081	13.7543	 0.0106	12.6485	 0.0087
   82	 675.378	 697.820	14.4483	 0.0076	13.7664	 0.0104	12.9422	 0.0078
   83	 946.784	 904.926	14.9463	 0.0089	13.7836	 0.0110	12.4769	 0.0082
   84	1024.005	 949.037	14.7928	 0.0089	13.7906	 0.0106	12.5917	 0.0086
   85	1451.799	1100.100	14.9372	 0.0085	13.8029	 0.0107	12.4984	 0.0080
   86	1391.169	1871.429	15.2274	 0.0091	13.8237	 0.0113	12.3499	 0.0113
   87	 938.290	 849.072	14.8260	 0.0084	13.8424	 0.0107	12.6548	 0.0082
   88	1222.467	1065.267	14.9947	 0.0086	13.8478	 0.0112	12.5547	 0.0085
   89	1077.019	 990.894	14.9194	 0.0094	13.8500	 0.0115	12.4991	 0.0086
   90	 848.328	 965.622	15.0105	 0.0107	13.8502	 0.0135	12.5654	 0.0084
   91	1598.674	1850.663	14.8977	 0.0081	13.8577	 0.0111	12.6619	 0.0085
   92	1065.052	 965.499	14.9951	 0.0085	13.8642	 0.0117	12.5733	 0.0084
   93	 679.165	 217.953	15.0190	 0.0082	13.8706	 0.0103	12.5843	 0.0083
   94	 955.511	 985.719	14.9467	 0.0101	13.8749	 0.0112	12.4881	 0.0079
   95	1019.385	1105.004	15.0296	 0.0084	13.9107	 0.0107	12.6174	 0.0080
   96	1194.562	 948.676	15.0428	 0.0108	13.9221	 0.0134	12.6398	 0.0088
   97	1051.077	1034.318	14.8600	 0.0078	13.9542	 0.0121	12.7901	 0.0094
   98	 874.794	 960.526	14.8977	 0.0081	13.9561	 0.0106	12.8026	 0.0088
   99	1080.761	 966.582	15.0600	 0.0092	13.9699	 0.0124	12.6636	 0.0083
  100	1104.777	1070.754	14.9097	 0.0087	13.9792	 0.0108	12.8249	 0.0082
  101	1185.679	1231.500	15.0969	 0.0079	14.0000	 0.0121	12.7089	 0.0086
  102	1051.965	 900.502	15.1178	 0.0090	14.0037	 0.0110	12.7234	 0.0092
  103	 897.268	 679.132	14.9396	 0.0086	14.0246	 0.0109	12.9060	 0.0089
  104	 984.385	 838.442	15.1505	 0.0101	14.0411	 0.0105	12.7667	 0.0089
  105	1347.306	1013.975	15.1337	 0.0088	14.0481	 0.0123	12.7667	 0.0083
  106	 800.084	1325.355	14.8929	 0.0083	14.0557	 0.0115	13.1126	 0.0083
  107	1299.959	1011.912	15.1461	 0.0086	14.0716	 0.0105	12.8067	 0.0077
  108	1414.983	 909.062	14.8394	 0.0083	14.0873	 0.0110	13.1969	 0.0083
  109	1838.114	1687.342	14.8219	 0.0078	14.1030	 0.0112	13.2324	 0.0082
  110	1670.553	  53.922	15.5131	 0.0085	14.1115	 0.0115	12.4279	 0.0119
  111	1324.255	 628.623	15.2115	 0.0085	14.1273	 0.0102	12.8567	 0.0083
  112	1868.666	1988.776	15.0425	 0.0084	14.1325	 0.0122	13.0904	 0.0088
  113	 798.939	1300.436	15.3067	 0.0087	14.1438	 0.0107	12.8965	 0.0084
  114	 755.458	 727.060	15.2466	 0.0087	14.1554	 0.0113	12.8900	 0.0082
  115	1063.906	 873.574	15.0296	 0.0087	14.1555	 0.0114	13.0701	 0.0088
  116	1184.402	1016.114	15.2220	 0.0102	14.1638	 0.0118	12.8835	 0.0087
  117	 603.231	 576.484	14.9476	 0.0083	14.1690	 0.0105	13.2761	 0.0082
  118	1092.339	1008.512	15.0747	 0.0099	14.1699	 0.0094	13.0564	 0.0083
  119	1392.681	 793.831	15.2501	 0.0085	14.1749	 0.0079	12.9152	 0.0077
  120	1058.951	1007.390	15.2553	 0.0092	14.1787	 0.0085	12.9169	 0.0094
  121	1093.604	1016.693	15.2435	 0.0111	14.2091	 0.0115	13.0033	 0.0103
  122	1365.705	 966.193	15.3712	 0.0084	14.2565	 0.0080	12.9943	 0.0085
  123	1209.328	 805.268	15.3463	 0.0109	14.2664	 0.0084	13.0320	 0.0085
  124	1275.333	1160.889	15.3438	 0.0085	14.2809	 0.0081	13.0435	 0.0083
  125	1161.331	 985.685	15.1920	 0.0093	14.3078	 0.0081	13.2110	 0.0083
  126	1442.503	 784.649	15.3799	 0.0091	14.3092	 0.0083	13.0795	 0.0084
  127	1056.749	 684.886	15.4002	 0.0096	14.3350	 0.0091	13.0852	 0.0080
  128	 935.624	1118.781	15.3811	 0.0098	14.3408	 0.0087	13.1044	 0.0086
  129	1029.404	 947.517	15.4275	 0.0091	14.3466	 0.0086	13.1143	 0.0092
  130	1298.032	 890.619	15.2267	 0.0089	14.3742	 0.0079	13.3113	 0.0086
  131	1329.811	1352.593	15.2502	 0.0092	14.4023	 0.0086	13.4618	 0.0082
  132	 908.556	1026.803	15.2848	 0.0098	14.4030	 0.0081	13.3094	 0.0087
  133	 960.621	1138.527	15.4411	 0.0086	14.4067	 0.0087	13.1867	 0.0088
  134	 943.061	 972.524	15.5142	 0.0095	14.4419	 0.0083	13.2119	 0.0087
  135	1388.338	1318.857	15.6074	 0.0088	14.4502	 0.0082	13.1801	 0.0083
  136	1035.522	 985.403	15.4777	 0.0109	14.4519	 0.0102	13.2621	 0.0092
  137	1053.171	1075.175	15.4853	 0.0104	14.4539	 0.0107	13.2366	 0.0101
  138	1110.147	 862.542	15.4989	 0.0095	14.4634	 0.0095	13.2257	 0.0088
  139	 891.113	 706.209	15.5292	 0.0083	14.4878	 0.0084	13.2875	 0.0085
  140	2020.667	 295.062	15.2917	 0.0114	14.4909	 0.0087	13.5576	 0.0084
  141	 963.754	 985.646	15.3817	 0.0096	14.5020	 0.0087	13.3890	 0.0087
  142	 787.954	1331.258	15.4464	 0.0088	14.5021	 0.0085	13.4641	 0.0085
  143	 954.721	 767.746	15.5438	 0.0099	14.5056	 0.0085	13.2890	 0.0086
  144	1121.144	1069.554	15.5226	 0.0095	14.5080	 0.0088	13.2818	 0.0093
  145	1083.466	 797.186	15.5453	 0.0100	14.5127	 0.0084	13.2829	 0.0086
  146	 609.929	 317.574	15.5969	 0.0096	14.5149	 0.0080	13.3547	 0.0085
  147	1052.164	1000.304	14.8920	 0.0094	14.5341	 0.0090	13.9593	 0.0102
  148	1116.770	 948.486	15.4690	 0.0131	14.5463	 0.0119	13.2918	 0.0118
  149	1199.127	 964.327	14.7335	 0.0093	14.5575	 0.0088	14.2738	 0.0094
  150	1042.797	 991.828	15.5381	 0.0103	14.5589	 0.0108	13.3896	 0.0093
  151	1778.695	 414.534	15.4358	 0.0090	14.5888	 0.0080	13.5906	 0.0085
  152	 983.282	 959.919	14.9517	 0.0086	14.5996	 0.0087	14.0835	 0.0093
  153	1614.598	1393.371	15.6401	 0.0091	14.6103	 0.0081	13.3878	 0.0087
  154	1552.400	1318.886	15.6260	 0.0090	14.6184	 0.0087	13.4020	 0.0085
  155	1098.385	1094.348	14.9004	 0.0090	14.6212	 0.0088	14.2229	 0.0104
  156	 809.816	 920.047	15.6589	 0.0095	14.6405	 0.0083	13.4308	 0.0087
  157	1098.918	1010.941	14.9489	 0.0101	14.6440	 0.0099	14.1803	 0.0113
  158	 990.626	1728.323	15.4054	 0.0085	14.6454	 0.0083	13.7363	 0.0087
  159	1348.881	1079.478	15.6865	 0.0092	14.6562	 0.0081	13.4356	 0.0084
  160	1089.687	 847.773	14.9470	 0.0092	14.6565	 0.0084	14.2406	 0.0089
  161	1071.779	 878.980	15.7017	 0.0102	14.6585	 0.0089	13.4389	 0.0082
  162	 355.970	 685.013	15.4640	 0.0095	14.6626	 0.0081	13.7468	 0.0089
  163	1035.826	 992.202	15.6587	 0.0117	14.6657	 0.0145	13.5430	 0.0110
  164	1480.255	1043.713	15.6963	 0.0087	14.6847	 0.0080	13.4787	 0.0086
  165	1179.832	1141.766	15.0501	 0.0089	14.6873	 0.0085	14.1556	 0.0093
  166	1875.648	1470.054	15.6478	 0.0088	14.6903	 0.0083	13.4962	 0.0084
  167	1090.625	1098.529	15.6754	 0.0108	14.6910	 0.0092	13.4867	 0.0098
  168	 976.113	1151.322	15.7026	 0.0091	14.6952	 0.0086	13.5076	 0.0088
  169	1313.054	1149.662	15.7033	 0.0106	14.7105	 0.0096	13.5272	 0.0090
  170	1200.023	 973.776	15.7269	 0.0098	14.7117	 0.0099	13.5536	 0.0097
  171	 779.408	1063.699	15.7216	 0.0103	14.7122	 0.0086	13.4957	 0.0087
  172	1226.736	 819.697	15.7228	 0.0114	14.7195	 0.0085	13.5498	 0.0081
  173	1081.722	 941.144	15.6938	 0.0115	14.7219	 0.0114	13.5424	 0.0108
  174	1837.120	 442.078	14.9549	 0.0081	14.7219	 0.0079	14.3514	 0.0090
  175	1254.390	 941.019	14.9868	 0.0098	14.7334	 0.0103	14.3575	 0.0124
  176	 873.737	1045.584	15.5087	 0.0092	14.7354	 0.0086	13.7310	 0.0092
  177	1348.303	 909.397	15.7549	 0.0093	14.7417	 0.0087	13.5410	 0.0091
  178	1299.670	1152.694	15.7553	 0.0090	14.7418	 0.0084	13.5570	 0.0089
  179	 930.878	1864.854	15.9467	 0.0087	14.7445	 0.0079	13.4580	 0.0081
  180	1046.257	1010.552	15.7398	 0.0095	14.7448	 0.0092	13.5302	 0.0101
  181	1152.855	 846.612	15.7826	 0.0105	14.7467	 0.0094	13.5635	 0.0094
  182	1689.471	1032.080	15.7551	 0.0088	14.7488	 0.0085	13.5393	 0.0084
  183	 932.545	1261.167	15.0091	 0.0091	14.7501	 0.0087	14.3673	 0.0092
  184	1044.164	 975.759	15.6856	 0.0120	14.7520	 0.0110	13.7286	 0.0102
  185	  26.812	2005.844	       	       	14.7532	 0.0129	13.8420	 0.0102
  186	1124.525	 901.925	15.7613	 0.0096	14.7533	 0.0089	13.5578	 0.0081
  187	1158.161	1145.437	15.0312	 0.0087	14.7538	 0.0088	14.3303	 0.0093
  188	1066.534	 888.273	14.9836	 0.0095	14.7547	 0.0102	14.3748	 0.0103
  189	1046.327	 721.092	15.7565	 0.0091	14.7555	 0.0087	13.5608	 0.0088
  190	1025.797	1141.701	15.0276	 0.0085	14.7636	 0.0084	14.3746	 0.0099
  191	 896.541	1004.695	15.7733	 0.0093	14.7709	 0.0083	13.5735	 0.0091
  192	  21.404	 419.751	15.9391	 0.0110	14.7738	 0.0105	13.3807	 0.0083
  193	1160.513	 762.239	15.7674	 0.0093	14.7751	 0.0084	13.5899	 0.0086
  194	1661.238	 605.927	15.3851	 0.0083	14.7805	 0.0079	13.9800	 0.0089
  195	 981.405	1122.830	15.0187	 0.0087	14.7816	 0.0083	14.3972	 0.0100
  196	1165.798	 872.990	15.7907	 0.0092	14.7819	 0.0085	13.5876	 0.0087
  197	1105.222	 957.352	15.0527	 0.0103	14.7844	 0.0110	14.3967	 0.0121
  198	1213.760	 864.500	15.8043	 0.0087	14.7860	 0.0082	13.6023	 0.0091
  199	1023.377	1059.125	15.6981	 0.0128	14.7861	 0.0123	13.5557	 0.0122
  200	 900.391	 998.327	15.8250	 0.0098	14.7869	 0.0083	13.5873	 0.0095
  201	1635.530	1259.090	16.1603	 0.0091	14.7906	 0.0081	13.3845	 0.0086
  202	1059.937	1042.575	15.7921	 0.0113	14.7910	 0.0104	13.6092	 0.0110
  203	1280.181	1048.920	15.7907	 0.0097	14.7946	 0.0085	13.6182	 0.0089
  204	 612.854	1045.844	15.0665	 0.0084	14.8006	 0.0085	14.4151	 0.0089
  205	1120.141	 938.038	15.8322	 0.0100	14.8015	 0.0109	13.5943	 0.0090
  206	 843.983	 743.135	15.8106	 0.0090	14.8019	 0.0082	13.6005	 0.0093
  207	1259.798	 842.573	15.8132	 0.0098	14.8044	 0.0083	13.6089	 0.0085
  208	1665.335	 921.599	15.0485	 0.0084	14.8055	 0.0085	14.4210	 0.0084
  209	1072.232	1002.000	15.7586	 0.0155	14.8060	 0.0142	13.5899	 0.0116
  210	1125.624	1095.091	15.0445	 0.0100	14.8096	 0.0086	14.4440	 0.0098
  211	1144.558	 853.799	15.8227	 0.0091	14.8155	 0.0095	13.6195	 0.0088
  212	1736.976	1088.012	15.6555	 0.0091	14.8168	 0.0085	13.8361	 0.0092
  213	 892.706	 952.006	15.8321	 0.0109	14.8210	 0.0094	13.6272	 0.0089
  214	1319.267	 422.408	15.9058	 0.0091	14.8216	 0.0081	13.5845	 0.0082
  215	1026.122	1027.898	15.8177	 0.0097	14.8230	 0.0091	13.6286	 0.0094
  216	1091.669	 468.184	15.6650	 0.0085	14.8238	 0.0086	13.8716	 0.0082
  217	1923.463	1774.929	15.5734	 0.0088	14.8277	 0.0084	13.9595	 0.0087
  218	1014.005	 737.473	15.0076	 0.0080	14.8347	 0.0085	14.5495	 0.0091
  219	1377.110	1179.526	15.6790	 0.0092	14.8386	 0.0080	13.8566	 0.0090
  220	1142.525	 975.929	15.7964	 0.0139	14.8394	 0.0104	13.5926	 0.0092
  221	 941.867	1023.477	15.8336	 0.0123	14.8398	 0.0147	13.7298	 0.0111
  222	1096.358	 942.881	15.8971	 0.0131	14.8419	 0.0118	13.6546	 0.0115
  223	 950.394	 717.235	15.0729	 0.0092	14.8451	 0.0084	14.5097	 0.0087
  224	 982.697	 887.133	15.8643	 0.0110	14.8519	 0.0093	13.6433	 0.0094
  225	1413.767	 957.026	15.8435	 0.0093	14.8551	 0.0085	13.6805	 0.0083
  226	1085.934	1503.235	15.8526	 0.0094	14.8571	 0.0085	13.6637	 0.0088
  227	1070.430	 972.423	15.8727	 0.0113	14.8615	 0.0101	13.6838	 0.0091
  228	 834.086	1244.609	15.4570	 0.0104	14.8718	 0.0096	14.1560	 0.0111
  229	1151.263	 851.339	15.8630	 0.0100	14.8786	 0.0100	13.7059	 0.0093
  230	1071.118	1080.484	15.1173	 0.0104	14.8856	 0.0106	14.5737	 0.0134
  231	1694.245	1232.245	15.8832	 0.0091	14.8859	 0.0080	13.6771	 0.0088
  232	 961.736	1125.869	15.1130	 0.0092	14.8899	 0.0097	14.5525	 0.0113
  233	 893.649	 428.380	15.9622	 0.0093	14.9020	 0.0082	13.7077	 0.0084
  234	1732.296	1303.310	15.0852	 0.0085	14.9035	 0.0083	14.5907	 0.0089
  235	1097.536	 643.796	15.9103	 0.0095	14.9138	 0.0081	13.7183	 0.0084
  236	 955.998	 860.328	15.1341	 0.0086	14.9191	 0.0093	14.5753	 0.0113
  237	 976.939	1223.993	15.1658	 0.0107	14.9193	 0.0109	14.5889	 0.0113
  238	1009.897	 883.055	15.9358	 0.0105	14.9193	 0.0088	13.7138	 0.0093
  239	1652.258	1303.077	15.0999	 0.0082	14.9206	 0.0082	14.6452	 0.0087
  240	  21.480	 427.284	15.5913	 0.0106	14.9336	 0.0108	14.0003	 0.0133
  241	1260.112	1101.751	15.9211	 0.0097	14.9337	 0.0084	13.7644	 0.0091
  242	1087.517	 974.005	15.9150	 0.0106	14.9354	 0.0093	13.7567	 0.0089
  243	1096.095	1052.067	15.1667	 0.0085	14.9404	 0.0089	14.6293	 0.0111
  244	1304.002	1182.959	15.1507	 0.0083	14.9516	 0.0090	14.6548	 0.0092
  245	 905.590	1059.168	15.9400	 0.0098	14.9518	 0.0082	13.7461	 0.0091
  246	1232.235	1506.310	15.8846	 0.0092	14.9610	 0.0087	13.8817	 0.0090
